Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kids,2023-01-17 15:16:18,00:00:08,Autoplayed: user action: None; ,The Boss Baby: Back in Business: Season 3 (Clip Standard 3),HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:08,00:00:08,BR (Brazil)
Kids,2023-01-17 15:15:52,00:00:12,Autoplayed: user action: None; ,Próxima Parada: Lar Doce Lar (Clipe): Próxima Parada: Lar Doce Lar,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:12,00:00:12,BR (Brazil)
Kids,2022-05-23 17:17:38,00:00:06,Autoplayed: user action: None; ,Galinha Pintadinha Mini: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,BR (Brazil)
Kids,2022-01-16 04:21:41,00:00:40,Autoplayed: user action: Unspecified; ,Hilda: Temporada 1: Capítulo 1: As pessoas escondidas (Episódio 1),,Samsung 2017 Kant-M UHD TV Smart TV,00:11:43,00:11:43,BR (Brazil)
Kids,2022-01-16 00:43:30,00:01:40,,Próxima Parada: Lar Doce Lar,,Samsung 2017 Kant-M UHD TV Smart TV,00:43:33,00:43:33,BR (Brazil)
Kids,2022-01-16 00:01:07,00:41:52,Autoplayed: user action: User_Interaction; ,Próxima Parada: Lar Doce Lar,,Samsung 2017 Kant-M UHD TV Smart TV,00:41:52,Not latest view,BR (Brazil)
Kids,2022-01-15 23:49:55,00:11:03,Autoplayed: user action: User_Interaction; ,Hilda: Temporada 1: Capítulo 1: As pessoas escondidas (Episódio 1),,Samsung 2017 Kant-M UHD TV Smart TV,00:11:03,Not latest view,BR (Brazil)
Kids,2020-10-05 20:04:34,01:26:49,Autoplayed: user action: None; ,Pets Unidos!,,Xiaomi M19 Set Top Box,01:27:04,01:27:04,BR (Brazil)
Kids,2020-05-15 19:48:24,00:02:07,,Os Irmãos Willoughby,,Xiaomi M19 Set Top Box,00:32:53,00:32:53,BR (Brazil)
Kids,2020-05-15 19:13:29,00:25:56,Autoplayed: user action: Unspecified; ,Os Irmãos Willoughby,,Xiaomi M19 Set Top Box,00:25:56,Not latest view,BR (Brazil)
Kids,2020-04-15 21:25:32,00:01:23,Autoplayed: user action: Unspecified; ,Mônica Toy: Collection: Mônica Toy Collection: Temporada 1 (Episódio 1),,Samsung 2017 Kant-M UHD TV Smart TV,00:01:23,00:01:23,BR (Brazil)
Kids,2020-04-14 14:54:44,00:04:24,Autoplayed: user action: None; ,Aucademia: Temporada 1: Oopsie! (Episódio 3),,Xiaomi M19 Set Top Box,00:04:27,00:04:27,BR (Brazil)
Kids,2020-04-14 14:32:15,00:22:27,Autoplayed: user action: None; ,Aucademia: Temporada 1: Dia de falar sobre o seu humano (Episódio 2),,Xiaomi M19 Set Top Box,00:22:36,00:22:36,BR (Brazil)
Kids,2020-04-14 14:17:00,00:15:10,Autoplayed: user action: Unspecified; ,Aucademia: Temporada 1: Primeiro dia (Episódio 1),,Xiaomi M19 Set Top Box,00:45:39,00:45:39,BR (Brazil)
Kids,2020-04-14 13:43:50,00:30:35,Autoplayed: user action: Unspecified; ,Aucademia: Temporada 1: Primeiro dia (Episódio 1),,Samsung 2017 Kant-M UHD TV Smart TV,00:30:35,Not latest view,BR (Brazil)
Kids,2018-12-01 00:07:43,00:10:40,Autoplayed: user action: None; ,The Signature,,Samsung 2017 Kant-M UHD TV Smart TV,00:11:06,00:11:06,BR (Brazil)
Kids,2018-11-30 23:56:43,00:10:58,,The Others,,Samsung 2017 Kant-M UHD TV Smart TV,00:11:26,00:11:26,BR (Brazil)
Kids,2018-11-30 23:45:22,00:11:18,,The Crew,,Samsung 2017 Kant-M UHD TV Smart TV,00:11:18,00:11:18,BR (Brazil)
Kids,2018-11-29 01:04:56,00:00:06,Autoplayed: user action: None; ,The Crew,,Samsung 2017 Kant-M UHD TV Smart TV,00:00:32,Not latest view,BR (Brazil)
Kids,2018-11-29 00:53:57,00:10:58,Autoplayed: user action: None; ,The Nemesis,,Samsung 2017 Kant-M UHD TV Smart TV,00:11:24,00:11:24,BR (Brazil)
Kids,2018-11-29 00:42:29,00:11:26,Autoplayed: user action: Unspecified; ,The Return,,Samsung 2017 Kant-M UHD TV Smart TV,00:11:26,00:11:26,BR (Brazil)
Kids,2018-06-27 23:35:11,00:01:35,,As Meninas Superpoderosas (2016): Temporada 1: Princesa Docinho (Episódio 1),,Android DefaultWidevineL3Phone Android Phone,00:01:12,00:01:12,PT (Portugal)
Kids,2018-06-06 17:41:18,00:00:10,Autoplayed: user action: None; ,"Masha e o Urso: Temporada 1: Fui pescar / Listras e bigodes / Me ligue, por favor (Episódio 4)",,LG 2016 MStar M2 Low DTV Smart TV,00:00:36,00:00:36,IE (Ireland)
Kids,2018-06-06 17:21:48,00:19:18,Autoplayed: user action: None; ,Masha e o Urso: Temporada 1: Pegadas de animais desconhecidos / Cuidado! / Sozinho em casa (Episódio 3),,LG 2016 MStar M2 Low DTV Smart TV,00:19:44,00:19:44,IE (Ireland)
Kids,2018-06-06 17:02:41,00:18:56,Autoplayed: user action: None; ,Masha e o Urso: Temporada 1: Dia de geleia / Criança com lobos / Primavera para o Urso (Episódio 2),,LG 2016 MStar M2 Low DTV Smart TV,00:19:22,00:19:22,IE (Ireland)
Kids,2018-06-06 16:42:04,00:20:23,,"Masha e o Urso: Temporada 1: Como eles se conheceram / Não acordar até a primavera / Um, dois, três! Acenda a árvore de Natal! (Episódio 1)",,LG 2016 MStar M2 Low DTV Smart TV,00:20:23,00:20:23,IE (Ireland)
Kids,2018-03-13 23:29:40,00:09:06,,Norm e os Invencíveis,,LG 2016 MStar M2 Low DTV Smart TV,00:09:06,00:09:06,IE (Ireland)
Kids,2018-03-04 12:43:24,00:14:02,,Bee Movie - A história de uma abelha,,Netflix Windows App - Cadmium Windows Mobile,00:14:01,00:14:01,IE (Ireland)
Kids,2018-03-02 14:09:14,00:44:37,,Os Sem-Floresta,,LG 2016 MStar M2 Low DTV Smart TV,00:44:37,00:44:37,IE (Ireland)
Kids,2018-03-02 14:03:02,00:02:59,,Saara,,LG 2016 MStar M2 Low DTV Smart TV,00:02:59,00:02:59,IE (Ireland)
Kids,2018-02-27 21:07:37,01:00:30,,Bee Movie - A história de uma abelha,,LG 2016 MStar M2 Low DTV Smart TV,01:00:34,Not latest view,IE (Ireland)
Kids,2018-02-27 19:55:16,00:04:20,,Bee Movie - A história de uma abelha,,LG 2016 MStar M2 Low DTV Smart TV,00:04:20,Not latest view,IE (Ireland)
Kids,2018-02-27 19:51:17,00:01:41,,Matilda,,LG 2016 MStar M2 Low DTV Smart TV,00:01:41,00:01:41,IE (Ireland)
Kids,2016-12-25 11:31:26,00:00:35,,Bob Esponja: Temporada 6: Casa Chique / Estrada do Carsiri (Episódio 1),,LG 2016 MStar M2 Low DTV Smart TV,00:00:35,00:00:35,IE (Ireland)
Kids,2016-12-25 11:30:47,00:00:12,,Bob Esponja: Temporada 6: Casa Chique / Estrada do Carsiri (Episódio 1),,LG 2016 MStar M2 Low DTV Smart TV,00:00:12,Not latest view,IE (Ireland)
Kids,2015-11-02 01:52:44,00:01:37,,The Knights,,Chrome PC (Cadmium),00:02:01,00:02:01,BR (Brazil)
